Vec2(0.45, 1.25) ; at the middle of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.63, 0.11) ; not near the right edge of the table ; (S1 (FRAG (RB not) (PP (IN near) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.31, 1.79) ; really far from the upper right corner of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ upper) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.30, 1.99) ; squarely at the far edge of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.57, 1.47) ; not far from the center of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.67, 0.43) ; not really close to the center of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.84, 0.44) ; almost at the center of the table ; (S1 (FRAG (RB almost) (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.90, 0.72) ; not rather far from the middle of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.64, 1.58) ; very far from the center of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.88, 1.30) ; nearly at the center of the table ; (S1 (FRAG (RB nearly) (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.62, 1.72) ; not at the center of the right edge of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.97, 0.67) ; quite close to the right edge of the table ; (S1 (ADVP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.30, 0.82) ; somewhat far from the center of the far edge of the table ; (S1 (ADVP (ADVP (RB somewhat) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.93, 1.75) ; fairly close to the right edge of the table ; (S1 (ADVP (RB fairly) (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.79, 0.07) ; somewhat far from the center of the table ; (S1 (ADVP (ADVP (RB somewhat) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.84, 1.13) ; very close to the middle of the table ; (S1 (ADVP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.25, 1.69) ; not far from the other end of the right edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.93, 0.82) ; not very far from the right side of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.58, 0.77) ; not rather close to the left side of the table ; (S1 (FRAG (RB not) (ADJP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.63, 0.58) ; not far from the center of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.36, 0.41) ; very near the center of the table ; (S1 (FRAG (RB very) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.58, 1.01) ; not really far from the middle of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.84, 1.59) ; at the right edge of the table ; (S1 (PP (IN at) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.59, 0.45) ; rather near the center of the table ; (S1 (PP (RB rather) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.86, 0.83) ; pretty far from the center of the far edge of the table ; (S1 (ADVP (ADVP (RB pretty) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.24, 0.94) ; quite near the center of the table ; (S1 (NP (PDT quite) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.44, 1.01) ; not really far from the middle of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.28, 1.49) ; fairly close to the center of the table ; (S1 (ADVP (RB fairly) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.08, 1.99) ; almost at the far end of the table ; (S1 (FRAG (RB almost) (PP (IN at) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.22, 1.57) ; quite far from the upper right corner of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ upper) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.64, 1.71) ; not really close to the left side of the far edge of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))))
Vec2(0.50, 1.84) ; not very far from the center of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.24, 1.69) ; not far from the center of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.11, 1.33) ; really far from the left side of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.02, 0.43) ; at the left side of the table ; (S1 (PP (IN at) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.60, 0.84) ; pretty close to the middle of the right edge of the table ; (S1 (ADVP (RB pretty) (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.35, 1.66) ; not rather far from the left edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.22, 0.43) ; very far from the left side of the near edge of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.88, 1.10) ; at the middle of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.91, 0.36) ; not far from the my end of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ my) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.57, 1.40) ; quite far from the right side of the far edge of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.66, 0.24) ; not very close to the right edge of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.61, 0.68) ; very near the middle of the table ; (S1 (FRAG (RB very) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.08, 1.44) ; not at the middle of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.89, 1.55) ; not at the left side of the far edge of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.31, 1.29) ; not at the center of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.55, 1.84) ; pretty near the middle of the table ; (S1 (FRAG (RB pretty) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.46, 1.01) ; not far from the middle of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.03, 0.63) ; not at the center of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.84, 1.89) ; not far from the right edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.93, 1.70) ; really far from the other end of the right edge of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.96, 0.10) ; not rather far from the right side of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.23, 1.04) ; very near the center of the table ; (S1 (FRAG (RB very) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.93, 1.56) ; near the right edge of the table ; (S1 (PP (IN near) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.49, 1.66) ; very close to the center of the table ; (S1 (ADVP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.93, 1.94) ; not really far from the upper right corner of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB far) (PP (IN from) (NP (NP (DT the) (JJ upper) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.45, 0.87) ; quite near the middle of the table ; (S1 (NP (PDT quite) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.84, 1.59) ; not close to the center of the table ; (S1 (FRAG (RB not) (ADJP (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.51, 1.46) ; not very far from the center of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.70, 0.41) ; somewhat far from the center of the left edge of the table ; (S1 (ADVP (ADVP (RB somewhat) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.36, 1.36) ; not far from the left edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.68, 0.67) ; not very close to the center of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.29, 1.44) ; quite far from the near end of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.83, 1.50) ; quite far from the right edge of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.15, 0.70) ; not really near the middle of the table ; (S1 (ADVP (RB not) (RB really) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.44, 1.96) ; not really far from the other end of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB far) (PP (IN from) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.44, 0.58) ; at the middle of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.80, 0.43) ; fairly close to the my end of the table ; (S1 (ADVP (RB fairly) (RB close) (PP (TO to) (NP (NP (DT the) (JJ my) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.88, 1.30) ; not rather near the center of the table ; (S1 (FRAG (RB not) (RB rather) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.82, 1.15) ; not very close to the right side of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.31, 0.15) ; not rather far from the near end of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.77, 1.48) ; really far from the right edge of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.90, 0.29) ; not squarely at the left edge of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.94, 1.03) ; close to the right edge of the table ; (S1 (S (ADJP (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.38, 1.54) ; not rather far from the center of the right edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.54, 0.19) ; not rather far from the middle of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.93, 1.51) ; not quite far from the right edge of the table ; (S1 (FRAG (RB not) (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.24, 1.06) ; not rather far from the middle of the left edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.51, 1.12) ; far from the center of the near edge of the table ; (S1 (PP (RB far) (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.67, 1.86) ; not really near the upper right corner of the table ; (S1 (ADVP (RB not) (RB really) (PP (IN near) (NP (NP (DT the) (JJ upper) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.57, 1.48) ; not rather far from the middle of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.46, 0.32) ; not very near the center of the table ; (S1 (FRAG (ADVP (RB not) (RB very)) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.01, 1.80) ; at the left edge of the table ; (S1 (PP (IN at) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.29, 0.81) ; not rather close to the center of the far edge of the table ; (S1 (FRAG (RB not) (ADJP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))))
Vec2(0.87, 0.08) ; not rather far from the near edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.06, 1.24) ; rather close to the left side of the table ; (S1 (ADVP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.27, 0.84) ; really far from the left edge of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.62, 0.59) ; squarely at the center of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.61, 0.26) ; not rather far from the near edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.31, 1.71) ; not squarely at the upper right corner of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ upper) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.67, 1.14) ; close to the center of the table ; (S1 (S (ADJP (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.70, 0.77) ; very far from the that end of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (NN that) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.80, 0.78) ; not very near the right edge of the table ; (S1 (FRAG (ADVP (RB not) (RB very)) (PP (IN near) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.84, 0.12) ; quite far from the lower left corner of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJR lower) (NN left) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.86, 1.87) ; very far from the that end of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (NN that) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.90, 0.71) ; not very far from the right side of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.95, 1.74) ; pretty near the right side of the table ; (S1 (FRAG (RB pretty) (PP (IN near) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.52, 0.11) ; near the middle of the table ; (S1 (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.68, 1.10) ; not very close to the center of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.53, 0.76) ; really near the middle of the table ; (S1 (FRAG (RB really) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.16, 1.93) ; quite far from the middle of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.83, 0.84) ; nearly at the center of the table ; (S1 (FRAG (RB nearly) (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.40, 1.57) ; not squarely at the other end of the left edge of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.83, 0.36) ; really far from the lower left corner of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJR lower) (NN left) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.03, 0.40) ; not quite far from the left side of the table ; (S1 (FRAG (RB not) (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.98, 1.80) ; not quite far from the right side of the table ; (S1 (FRAG (RB not) (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
